Date,HT,AT,HS,AS
2008-06-21,La Serena,Audax Italiano,1,1
2008-06-21,Unión Española,Melipilla,1,0
2008-06-22,O'Higgins,Universidad de Concepcion,3,3
2008-06-22,Antofagasta,Palestino,0,3
2008-06-22,Huachipato,Cobreloa,1,2
2008-06-22,Ñublense,Rangers,2,2
2008-06-22,Santiago Morning,Universidad Catolica,1,0
2008-07-09,Everton,Cobresal,2,0
2008-07-16,Colo Colo,Osorno,4,1
2008-06-28,Osorno,Huachipato,3,1
2008-06-28,Universidad de Concepcion,Antofagasta,3,1
2008-06-28,Audax Italiano,Unión Española,0,0
2008-06-28,Palestino,O'Higgins,2,3
2008-06-28,Universidad Catolica,Everton,0,1
2008-06-29,Rangers,La Serena,2,1
2008-06-29,Cobreloa,Cobresal,1,1
2008-06-29,Melipilla,Colo Colo,0,2
2008-06-29,Universidad de Chile,Ñublense,2,1
2008-07-05,Unión Española,Universidad Catolica,1,4
2008-07-05,Everton,Universidad de Concepcion,2,1
2008-07-05,O'Higgins,Cobreloa,1,0
2008-07-05,La Serena,Melipilla,1,0
2008-07-06,Cobresal,Universidad de Chile,1,2
2008-07-06,Osorno,Ñublense,4,1
2008-07-06,Huachipato,Santiago Morning,1,1
2008-07-06,Antofagasta,Rangers,2,1
2008-07-06,Colo Colo,Palestino,0,0
2008-07-12,Palestino,Santiago Morning,1,1
2008-07-12,O'Higgins,Cobresal,3,0
2008-07-12,Cobreloa,Unión Española,1,1
2008-07-12,Universidad de Chile,Everton,1,2
2008-07-13,Rangers,Osorno,1,0
2008-07-13,Universidad de Concepcion,Colo Colo,1,2
2008-07-13,Antofagasta,Huachipato,0,2
2008-07-13,Audax Italiano,Melipilla,2,2
2008-07-13,Universidad Catolica,La Serena,1,1
2008-07-19,Huachipato,Universidad de Concepcion,1,1
2008-07-19,Unión Española,Universidad de Chile,1,4
2008-07-19,La Serena,Cobreloa,6,2
2008-07-19,Everton,Palestino,0,1
2008-07-20,Cobresal,Audax Italiano,1,2
2008-07-20,Santiago Morning,Antofagasta,2,1
2008-07-20,Melipilla,Ñublense,1,1
2008-07-20,Osorno,Universidad Catolica,2,4
2008-07-20,Colo Colo,Rangers,2,3
2008-07-26,Everton,La Serena,5,5
2008-07-26,Unión Española,Cobresal,1,1
2008-07-26,Universidad de Concepcion,Osorno,4,1
2008-07-26,Universidad de Chile,Melipilla,4,1
2008-07-26,O'Higgins,Santiago Morning,4,1
2008-07-27,Ñublense,Colo Colo,1,2
2008-07-27,Audax Italiano,Huachipato,0,3
2008-07-27,Cobreloa,Antofagasta,1,2
2008-07-27,Rangers,Palestino,1,1
2008-08-02,Palestino,Universidad de Concepcion,3,1
2008-08-02,Audax Italiano,Everton,2,1
2008-08-02,Universidad de Chile,Cobreloa,3,1
2008-08-02,Huachipato,Rangers,1,2
2008-08-03,Santiago Morning,Unión Española,1,2
2008-08-03,Cobresal,Ñublense,1,0
2008-08-03,Antofagasta,O'Higgins,2,1
2008-08-03,Melipilla,Osorno,3,1
2008-08-03,Universidad Catolica,Colo Colo,1,0
2008-08-09,Colo Colo,Audax Italiano,1,1
2008-08-09,La Serena,Universidad de Chile,2,2
2008-08-09,Osorno,Antofagasta,0,1
2008-08-09,Universidad de Concepcion,Santiago Morning,2,2
2008-08-10,Cobresal,Huachipato,2,2
2008-08-10,Cobreloa,Rangers,3,0
2008-08-10,Everton,Melipilla,2,1
2008-08-10,Ñublense,Palestino,2,1
2008-08-10,O'Higgins,Universidad Catolica,1,1
2008-08-14,Palestino,Universidad de Chile,0,3
2008-08-15,Universidad de Concepcion,Audax Italiano,1,1
2008-08-16,Osorno,Cobresal,0,3
2008-08-17,La Serena,Antofagasta,2,0
2008-08-17,Rangers,Everton,2,0
2008-08-17,Santiago Morning,Ñublense,2,2
2008-08-17,Universidad Catolica,Huachipato,0,4
2008-08-20,Melipilla,O'Higgins,2,1
2008-08-27,Colo Colo,Unión Española,2,1
2008-08-23,Huachipato,Palestino,1,2
